,AQI,CO,CO_8hr,County,Latitude,Longitude,NO,NO2,NOx,O3,O3_8hr,PM10,PM10_AVG,PM2.5,PM2.5_AVG,Pollutant,PublishTime,SO2,SO2_AVG,SiteId,SiteName,Status,WindDirec,WindSpeed
0,97,0.22,0.3,屏東縣,22.37094722,120.59116667,0.3,8.1,8.3,56,67,48,63,25,34,細懸浮微粒,2021/03/17 17:00:00,0.5,1,313,屏東(枋寮),普通,226,0.4
1,121,0.27,0.3,新竹市,24.81953333,120.96231389,2.7,19.9,22.6,22.6,25,78,77,41,43,細懸浮微粒,2021/03/17 17:00:00,0.5,1,312,新竹(北區),對敏感族群不健康,98,1.4
2,110,0.59,0.5,新北市,24.94902778,121.38352778,5.2,36.4,41.6,22.2,28,-,-,41,39,細懸浮微粒,2021/03/17 17:00:00,1.4,1,311,新北(樹林),對敏感族群不健康,202,0.6
3,94,0.29,0.3,臺南市,23.26472222,120.12444444,0.8,11.4,12.2,39.8,36,68,70,31,33,細懸浮微粒,2021/03/17 17:00:00,1.8,2,310,臺南(北門),普通,345,2.5
4,112,0.24,0.4,屏東縣,22.35222,120.37722,1.3,4.3,5.6,63.5,74,40,58,19,34,臭氧八小時,2021/03/17 17:00:00,1.2,2,204,屏東(琉球),對敏感族群不健康,310,1.8
5,78,0.24,0.3,臺南市,23.17904722,120.24583056,1.7,7,8.7,44.9,43,62,53,23,26,細懸浮微粒,2021/03/17 17:00:00,1.1,2,203,臺南(麻豆),普通,16,2.9
6,,,,彰化縣,23.84313,120.27311,,,,,,,,,,,2021/03/17 17:00:00,,2,202,彰化(大城),,,
7,89,0.43,0.4,彰化縣,23.95058333,120.58178611,0.7,14.4,15.1,55.6,54,52,49,32,31,細懸浮微粒,2021/03/17 17:00:00,3.3,4,201,彰化(員林),普通,172,1.1
8,106,0.21,0.2,新北市,25.29228,121.54738,0.3,3.9,3.9,45.8,45,132,116,40,38,細懸浮微粒,2021/03/17 17:00:00,0.5,1,84,富貴角,對敏感族群不健康,143,1
9,92,0.32,0.3,雲林縣,23.753506,120.251825,0.3,6.5,6.9,47.4,45,52,48,32,32,細懸浮微粒,2021/03/17 17:00:00,0.5,1,83,麥寮,普通,360,4.3
10,28,-,-,臺東縣,23.045083,121.161933,,,,28.6,30,15,15,8,8,,2021/03/17 17:00:00,0.5,1,80,關山,良好,218,2
11,65,0.26,0.3,澎湖縣,23.569031,119.566158,0.7,5.2,5.9,52,49,29,29,20,21,細懸浮微粒,2021/03/17 17:00:00,0.5,2,78,馬公,普通,34,4.8
12,84,0.31,0.4,金門縣,24.432133,118.312256,1.4,10.6,12,50.3,42,30,39,23,29,細懸浮微粒,2021/03/17 17:00:00,2.2,4,77,金門,普通,100,3.7
13,71,0.23,0.3,連江縣,26.160469,119.949875,0.8,7.6,8.3,45.8,50,61,45,25,24,細懸浮微粒,2021/03/17 17:00:00,2.8,3,75,馬祖,普通,322,2.7
14,71,0.26,0.3,南投縣,23.968842,120.967903,1.7,9.2,10.9,54,61,28,31,15,19,臭氧八小時,2021/03/17 17:00:00,0.5,1,72,埔里,普通,281,4
15,55,0.4,0.5,高雄市,22.608711,120.312017,2.3,8.8,11.1,41,44,30,34,12,17,細懸浮微粒,2021/03/17 17:00:00,1.9,3,71,復興,普通,285,1.4
16,87,0.72,1.1,新北市,25.017,121.516306,8.4,29.4,37.8,22.5,29,42,51,26,30,細懸浮微粒,2021/03/17 17:00:00,2.5,3,70,永和,普通,45,2.2
17,97,0.37,0.3,南投縣,23.756389,120.677306,1.8,7.9,9.6,50.5,51,77,56,36,34,細懸浮微粒,2021/03/17 17:00:00,3,3,69,竹山,普通,302,1.4
18,111,0.6,0.6,桃園市,24.953278,121.221667,12.8,29.9,42.7,19.1,20,97,88,44,39,細懸浮微粒,2021/03/17 17:00:00,1.8,3,68,中壢,對敏感族群不健康,356,0.7
19,102,1.16,0.9,新北市,25.072611,121.493806,62.1,39.7,101.7,-,-,80,69,38,36,細懸浮微粒,2021/03/17 17:00:00,2.9,3,67,三重,對敏感族群不健康,-,-
