縣市別,開始時間,結束時間,平均溫度
嘉義縣,2021-03-16 12:00:00,2021-03-16 18:00:00,28
嘉義縣,2021-03-16 18:00:00,2021-03-17 06:00:00,22
嘉義縣,2021-03-17 06:00:00,2021-03-17 18:00:00,25
嘉義縣,2021-03-17 18:00:00,2021-03-18 06:00:00,22
嘉義縣,2021-03-18 06:00:00,2021-03-18 18:00:00,25
嘉義縣,2021-03-18 18:00:00,2021-03-19 06:00:00,21
嘉義縣,2021-03-19 06:00:00,2021-03-19 18:00:00,25
嘉義縣,2021-03-19 18:00:00,2021-03-20 06:00:00,22
嘉義縣,2021-03-20 06:00:00,2021-03-20 18:00:00,25
嘉義縣,2021-03-20 18:00:00,2021-03-21 06:00:00,21
嘉義縣,2021-03-21 06:00:00,2021-03-21 18:00:00,23
嘉義縣,2021-03-21 18:00:00,2021-03-22 06:00:00,19
嘉義縣,2021-03-22 06:00:00,2021-03-22 18:00:00,21
嘉義縣,2021-03-22 18:00:00,2021-03-23 06:00:00,18
