縣市別,開始時間,結束時間,平均溫度
臺中市,2021-03-15 12:00:00,2021-03-15 18:00:00,25
臺中市,2021-03-15 18:00:00,2021-03-16 06:00:00,20
臺中市,2021-03-16 06:00:00,2021-03-16 18:00:00,24
臺中市,2021-03-16 18:00:00,2021-03-17 06:00:00,21
臺中市,2021-03-17 06:00:00,2021-03-17 18:00:00,24
臺中市,2021-03-17 18:00:00,2021-03-18 06:00:00,21
臺中市,2021-03-18 06:00:00,2021-03-18 18:00:00,24
臺中市,2021-03-18 18:00:00,2021-03-19 06:00:00,21
臺中市,2021-03-19 06:00:00,2021-03-19 18:00:00,24
臺中市,2021-03-19 18:00:00,2021-03-20 06:00:00,21
臺中市,2021-03-20 06:00:00,2021-03-20 18:00:00,24
臺中市,2021-03-20 18:00:00,2021-03-21 06:00:00,21
臺中市,2021-03-21 06:00:00,2021-03-21 18:00:00,22
臺中市,2021-03-21 18:00:00,2021-03-22 06:00:00,18
